Hydration Score Energy Score =,(Carbs Loss + Salts Loss) / 2 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hydration Score =,1- (Hydration Score Energy Loss),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Health Score Energy Loss =,(Carbs loss + PH average loss + Salts loss + Urea loss)/4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Health Score =,1- (Health Score Energy Loss),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Carbs,,,,PH Average,,,,Salts,,,,Urea,,,,Example Numbers ONLY,,,
,,,,,,6.54,29.13%,0.63%,,17.4,3.22%,0.13%,,17.4,35.11%,0.31%,,,,,
,,,,,,6.55,28.50%,0.63%,,17.5,3.36%,0.13%,,17.5,35.42%,0.31%,,,,,
,,,,,,6.56,27.87%,0.63%,,17.6,3.49%,0.13%,,17.6,35.73%,0.31%,,,,,
,,,,,,6.57,27.23%,0.63%,,17.7,3.63%,0.13%,,17.7,36.04%,0.31%,,,,,
,,,,,,6.58,26.60%,0.63%,,17.8,3.76%,0.13%,,17.8,36.36%,0.31%,,,,,
,,,,,,6.59,25.97%,0.63%,,17.9,3.90%,0.13%,,17.9,36.67%,0.31%,,,,,
,,,,,,6.6,25.33%,0.63%,,18,4.03%,0.13%,,18,36.98%,0.31%,,,,,
,,,,,,6.61,24.70%,0.63%,,18.1,4.16%,0.13%,,18.1,37.29%,0.31%,,,,,
,,,,,,6.62,24.07%,0.63%,,18.2,4.30%,0.13%,,18.2,37.60%,0.31%,,,,,
,,,,,,6.63,23.43%,0.63%,,18.3,4.43%,0.13%,,18.3,37.91%,0.31%,,,,,
,,,,,,6.64,22.80%,0.63%,,18.4,4.57%,0.13%,,18.4,38.22%,0.31%,,,,,
,,,,,,6.65,22.17%,0.63%,,18.5,4.70%,0.13%,,18.5,38.53%,0.31%,,,,,
,,,,,,6.66,21.53%,0.63%,,18.6,4.84%,0.13%,,18.6,38.84%,0.31%,,,,,
,,,,,,6.67,20.90%,0.63%,,18.7,4.97%,0.13%,,18.7,39.16%,0.31%,,,,,
,,,,,,6.68,20.27%,0.63%,,18.8,5.10%,0.13%,,18.8,39.47%,0.31%,,,,,
,,,,,,6.69,19.63%,0.63%,,18.9,5.24%,0.13%,,18.9,39.78%,0.31%,,,,,
,,,,,,6.7,19.00%,0.63%,,19,5.37%,0.13%,,19,40.09%,0.31%,,,,,
,,,,,,6.71,18.37%,0.63%,,19.1,5.51%,0.13%,,19.1,40.40%,0.31%,,,,,
,,,,,,6.72,17.73%,0.63%,,19.2,5.64%,0.13%,,19.2,40.71%,0.31%,,,,,
,,,,,,6.73,17.10%,0.63%,,19.3,5.78%,0.13%,,19.3,41.02%,0.31%,,,,,
,,,,,,6.74,16.47%,0.63%,,19.4,5.91%,0.13%,,19.4,41.33%,0.31%,,,,,
,,,,,,6.75,15.83%,0.63%,,19.5,6.04%,0.13%,,19.5,41.64%,0.31%,,,,,
,,,,,,6.76,15.20%,0.63%,,19.6,6.18%,0.13%,,19.6,41.96%,0.31%,,,,,
,,,,,,6.77,14.57%,0.63%,,19.7,6.31%,0.13%,,19.7,42.27%,0.31%,,,,,
,,,,,,6.78,13.93%,0.63%,,19.8,6.45%,0.13%,,19.8,42.58%,0.31%,,,,,
,,,,,,6.79,13.30%,0.63%,,19.9,6.58%,0.13%,,19.9,42.89%,0.31%,,,,,
,,,,,,6.8,12.67%,0.63%,,20,6.72%,0.13%,,20,43.20%,0.31%,,,,,
,,,,,,6.81,12.03%,0.63%,,20.1,6.85%,0.13%,,20.1,43.51%,0.31%,,,,,
,,,,,,6.82,11.40%,0.63%,,20.2,6.99%,0.13%,,20.2,43.82%,0.31%,,,,,
,,,,,,6.83,10.77%,0.63%,,20.3,7.12%,0.13%,,20.3,44.13%,0.31%,,,,,
,,,,,,6.84,10.13%,0.63%,,20.4,7.25%,0.13%,,20.4,44.44%,0.31%,,,,,
,,,,,,6.85,9.50%,0.63%,,20.5,7.39%,0.13%,,20.5,44.76%,0.31%,,,,,
,,,,,,6.86,8.87%,0.63%,,20.6,7.52%,0.13%,,20.6,45.07%,0.31%,,,,,
,,,,,,6.87,8.23%,0.63%,,20.7,7.66%,0.13%,,20.7,45.38%,0.31%,,,,,
,,,,,,6.88,7.60%,0.63%,,20.8,7.79%,0.13%,,20.8,45.69%,0.31%,,,,,
,,,,,,6.89,6.97%,0.63%,,20.9,7.93%,0.13%,,20.9,46%,0.31%,,,,,
,,,,,,6.9,6.33%,0.63%,,21,8.06%,0.13%,,21,46.42%,0.42%,,,,,
,,,,,,6.91,5.70%,0.63%,,21.1,8.19%,0.13%,,21.1,46.85%,0.42%,,,,,
,,,,,,6.92,5.07%,0.63%,,21.2,8.33%,0.13%,,21.2,47.27%,0.42%,,,,,
,,,,,,6.93,4.43%,0.63%,,21.3,8.46%,0.13%,,21.3,47.69%,0.42%,,,,,
,,,,,,6.94,3.80%,0.63%,,21.4,8.60%,0.13%,,21.4,48.11%,0.42%,,,,,
,,,,,,6.95,3.17%,0.63%,,21.5,8.73%,0.13%,,21.5,48.54%,0.42%,,,,,
,,,,,,6.96,2.53%,0.63%,,21.6,8.87%,0.13%,,21.6,48.96%,0.42%,,,,,
,,,,,,6.97,1.90%,0.63%,,21.7,9.00%,0.13%,,21.7,49.38%,0.42%,,,,,
,,,,,,6.98,1.27%,0.63%,,21.8,9.13%,0.13%,,21.8,49.80%,0.42%,,,,,
,,,,,,6.99,0.63%,0.63%,,21.9,9.27%,0.13%,,21.9,50.23%,0.42%,,,,,
,,,,,,7,0.00%,-0.63%,,22,9.40%,0.13%,,22,50.65%,0.42%,,,,,
,,,,,,7.01,0.28%,0.28%,,22.1,9.54%,0.13%,,22.1,51.07%,0.42%,,,,,
,,,,,,7.02,0.56%,0.28%,,22.2,9.67%,0.13%,,22.2,51.49%,0.42%,,,,,
,,,,,,7.03,0.84%,0.28%,,22.3,9.81%,0.13%,,22.3,51.92%,0.42%,,,,,
,,,,,,7.04,1.11%,0.28%,,22.4,9.94%,0.13%,,22.4,52.34%,0.42%,,,,,
,,,,,,7.05,1.39%,0.28%,,22.5,10.07%,0.13%,,22.5,52.76%,0.42%,,,,,
,,,,,,7.06,1.67%,0.28%,,22.6,10.21%,0.13%,,22.6,53.18%,0.42%,,,,,
,,,,,,7.07,1.95%,0.28%,,22.7,10.34%,0.13%,,22.7,53.61%,0.42%,,,,,
,,,,,,7.08,2.23%,0.28%,,22.8,10.48%,0.13%,,22.8,54.03%,0.42%,,,,,
,,,,,,7.09,2.51%,0.28%,,22.9,10.61%,0.13%,,22.9,54.45%,0.42%,,,,,
,,,,,,7.1,2.78%,0.28%,,23,10.75%,0.13%,,23,54.87%,0.42%,,,,,
,,,,,,7.11,3.06%,0.28%,,23.1,10.88%,0.13%,,23.1,55.30%,0.42%,,,,,
,,,,,,7.12,3.34%,0.28%,,23.2,11.01%,0.13%,,23.2,55.72%,0.42%,,,,,
,,,,,,7.13,3.62%,0.28%,,23.3,11.15%,0.13%,,23.3,56.14%,0.42%,,,,,
,,,,,,7.14,3.90%,0.28%,,23.4,11.28%,0.13%,,23.4,56.56%,0.42%,,,,,
,,,,,,7.15,4.18%,0.28%,,23.5,11.42%,0.13%,,23.5,56.99%,0.42%,,,,,
,,,,,,7.16,4.46%,0.28%,,23.6,11.55%,0.13%,,23.6,57.41%,0.42%,,,,,
,,,,,,7.17,4.73%,0.28%,,23.7,11.69%,0.13%,,23.7,57.83%,0.42%,,,,,
,,,,,,7.18,5.01%,0.28%,,23.8,11.82%,0.13%,,23.8,58.25%,0.42%,,,,,
,,,,,,7.19,5.29%,0.28%,,23.9,11.96%,0.13%,,23.9,58.68%,0.42%,,,,,
,,,,,,7.2,5.57%,0.28%,,24,12.09%,0.13%,,24,59.10%,0.42%,,,,,
,,,,,,7.21,5.85%,0.28%,,24.1,12.22%,0.13%,,24.1,59.52%,0.42%,,,,,
,,,,,,7.22,6.13%,0.28%,,24.2,12.36%,0.13%,,24.2,59.94%,0.42%,,,,,
,,,,,,7.23,6.41%,0.28%,,24.3,12.49%,0.13%,,24.3,60.37%,0.42%,,,,,
,,,,,,7.24,6.68%,0.28%,,24.4,12.63%,0.13%,,24.4,60.79%,0.42%,,,,,
,,,,,,7.25,6.96%,0.28%,,24.5,12.76%,0.13%,,24.5,61.21%,0.42%,,,,,
,,,,,,7.26,7.24%,0.28%,,24.6,12.90%,0.13%,,24.6,61.63%,0.42%,,,,,
,,,,,,7.27,7.52%,0.28%,,24.7,13.03%,0.13%,,24.7,62.06%,0.42%,,,,,
,,,,,,7.28,7.80%,0.28%,,24.8,13.16%,0.13%,,24.8,62.48%,0.42%,,,,,
,,,,,,7.29,8.08%,0.28%,,24.9,13.30%,0.13%,,24.9,62.90%,0.42%,,,,,
,,,,,,7.3,8.35%,0.28%,,25,13.43%,0.13%,,25,63.32%,0.42%,,,,,
,,,,,,7.31,8.63%,0.28%,,25.1,13.57%,0.13%,,25.1,63.75%,0.42%,,,,,
,,,,,,7.32,8.91%,0.28%,,25.2,13.70%,0.13%,,25.2,64.17%,0.42%,,,,,
,,,,,,7.33,9.19%,0.28%,,25.3,13.84%,0.13%,,25.3,64.59%,0.42%,,,,,
,,,,,,7.34,9.47%,0.28%,,25.4,13.97%,0.13%,,25.4,65.01%,0.42%,,,,,
,,,,,,7.35,9.75%,0.28%,,25.5,14.10%,0.13%,,25.5,65.44%,0.42%,,,,,
,,,,,,7.36,10.03%,0.28%,,25.6,14.24%,0.13%,,25.6,65.86%,0.42%,,,,,
,,,,,,7.37,10.30%,0.28%,,25.7,14.37%,0.13%,,25.7,66.28%,0.42%,,,,,
,,,,,,7.38,10.58%,0.28%,,25.8,14.51%,0.13%,,25.8,66.70%,0.42%,,,,,
,,,,,,7.39,10.86%,0.28%,,25.9,14.64%,0.13%,,25.9,67.13%,0.42%,,,,,
,,,,,,7.4,11.14%,0.28%,,26,14.78%,0.13%,,26,67.55%,0.42%,,,,,
,,,,,,7.41,11.42%,0.28%,,26.1,14.91%,0.13%,,26.1,67.97%,0.42%,,,,,
,,,,,,7.42,11.70%,0.28%,,26.2,15.04%,0.13%,,26.2,68.39%,0.42%,,,,,
,,,,,,7.43,11.97%,0.28%,,26.3,15.18%,0.13%,,26.3,68.82%,0.42%,,,,,
,,,,,,7.44,12.25%,0.28%,,26.4,15.31%,0.13%,,26.4,69.24%,0.42%,,,,,
,,,,,,7.45,12.53%,0.28%,,26.5,15.45%,0.13%,,26.5,69.66%,0.42%,,,,,
,,,,,,7.46,12.81%,0.28%,,26.6,15.58%,0.13%,,26.6,70.08%,0.42%,,,,,
,,,,,,7.47,13.09%,0.28%,,26.7,15.72%,0.13%,,26.7,70.51%,0.42%,,,,,
,,,,,,7.48,13.37%,0.28%,,26.8,15.85%,0.13%,,26.8,70.93%,0.42%,,,,,
,,,,,,7.49,13.65%,0.28%,,26.9,15.99%,0.13%,,26.9,71.35%,0.42%,,,,,
,,,,,,7.5,13.92%,0.28%,,27,16.12%,0.13%,,27,71.77%,0.42%,,,,,
,,,,,,7.51,14.20%,0.28%,,27.1,16.25%,0.13%,,27.1,72.20%,0.42%,,,,,
,,,,,,7.52,14.48%,0.28%,,27.2,16.39%,0.13%,,27.2,72.62%,0.42%,,,,,
,,,,,,7.53,14.76%,0.28%,,27.3,16.52%,0.13%,,27.3,73.04%,0.42%,,,,,
,,,,,,7.54,15.04%,0.28%,,27.4,16.66%,0.13%,,27.4,73.46%,0.42%,,,,,
,,,,,,7.55,15.32%,0.28%,,27.5,16.79%,0.13%,,27.5,73.89%,0.42%,,,,,
,,,,,,7.56,15.59%,0.28%,,27.6,16.93%,0.13%,,27.6,74.31%,0.42%,,,,,
,,,,,,7.57,15.87%,0.28%,,27.7,17.06%,0.13%,,27.7,74.73%,0.42%,,,,,
,,,,,,7.58,16.15%,0.28%,,27.8,17.19%,0.13%,,27.8,75.15%,0.42%,,,,,
,,,,,,7.59,16.43%,0.28%,,27.9,17.33%,0.13%,,27.9,75.58%,0.42%,,,,,
,,,,,,7.6,16.71%,0.28%,,28,17.46%,0.13%,,28,76%,0.42%,,,,,
,,,,,,7.61,16.99%,0.28%,,28.1,17.60%,0.13%,,28.1,77.00%,1.00%,,,,,
,,,,,,7.62,17.27%,0.28%,,28.2,17.73%,0.13%,,28.2,78.00%,1.00%,,,,,
,,,,,,7.63,17.54%,0.28%,,28.3,17.87%,0.13%,,28.3,79.00%,1.00%,,,,,
,,,,,,7.64,17.82%,0.28%,,28.4,18%,0.13%,,28.4,80.00%,1.00%,,,,,
,,,,,,7.65,18.10%,0.28%,,28.5,18.19%,0.19%,,28.5,81.00%,1.00%,,,,,
,,,,,,7.66,18.38%,0.28%,,28.6,18.37%,0.19%,,28.6,82.00%,1.00%,,,,,
,,,,,,7.67,18.66%,0.28%,,28.7,18.56%,0.19%,,28.7,83.00%,1.00%,,,,,
,,,,,,7.68,18.94%,0.28%,,28.8,18.75%,0.19%,,28.8,84.00%,1.00%,,,,,
,,,,,,7.69,19.22%,0.28%,,28.9,18.93%,0.19%,,28.9,85.00%,1.00%,,,,,
,,,,,,7.7,19.49%,0.28%,,29,19.12%,0.19%,,29,86.00%,1.00%,,,,,
,,,,,,7.71,19.77%,0.28%,,29.1,19.31%,0.19%,,29.1,87.00%,1.00%,,,,,
,,,,,,7.72,20.05%,0.28%,,29.2,19.49%,0.19%,,29.2,88.00%,1.00%,,,,,
,,,,,,7.73,20.33%,0.28%,,29.3,19.68%,0.19%,,29.3,89.00%,1.00%,,,,,
,,,,,,7.74,20.61%,0.28%,,29.4,19.87%,0.19%,,29.4,90.00%,1.00%,,,,,
,,,,,,7.75,20.89%,0.28%,,29.5,20.05%,0.19%,,29.5,91.00%,1.00%,,,,,
,,,,,,7.76,21.16%,0.28%,,29.6,20.24%,0.19%,,29.6,92.00%,1.00%,,,,,
,,,,,,7.77,21.44%,0.28%,,29.7,20.43%,0.19%,,29.7,93.00%,1.00%,,,,,
,,,,,,7.78,21.72%,0.28%,,29.8,20.61%,0.19%,,29.8,94.00%,1.00%,,,,,
,,,,,,7.79,22%,0.28%,,29.9,20.80%,0.19%,,29.9,95.00%,1.00%,,,,,
,,,,,,7.8,22.32%,0.32%,,30,20.99%,0.19%,,30,96%,,,,,,
,,,,,,7.81,22.64%,0.32%,,30.1,21.17%,0.19%,,,,,,,,,
,,,,,,7.82,22.96%,0.32%,,30.2,21.36%,0.19%,,,,,,,,,
,,,,,,7.83,23.28%,0.32%,,30.3,21.55%,0.19%,,,,,,,,,
,,,,,,7.84,23.60%,0.32%,,30.4,21.73%,0.19%,,,,,,,,,
,,,,,,7.85,23.93%,0.32%,,30.5,21.92%,0.19%,,,,,,,,,
,,,,,,7.86,24.25%,0.32%,,30.6,22.11%,0.19%,,,,,,,,,
,,,,,,7.87,24.57%,0.32%,,30.7,22.29%,0.19%,,,,,,,,,
,,,,,,7.88,24.89%,0.32%,,30.8,22.48%,0.19%,,,,,,,,,
,,,,,,7.89,25.21%,0.32%,,30.9,22.67%,0.19%,,,,,,,,,
,,,,,,7.9,25.53%,0.32%,,31,22.85%,0.19%,,,,,,,,,
,,,,,,7.91,25.85%,0.32%,,31.1,23.04%,0.19%,,,,,,,,,
,,,,,,7.92,26.17%,0.32%,,31.2,23.23%,0.19%,,,,,,,,,
,,,,,,7.93,26.49%,0.32%,,31.3,23.41%,0.19%,,,,,,,,,
,,,,,,7.94,26.81%,0.32%,,31.4,23.60%,0.19%,,,,,,,,,
,,,,,,7.95,27.14%,0.32%,,31.5,23.79%,0.19%,,,,,,,,,
,,,,,,7.96,27.46%,0.32%,,31.6,23.97%,0.19%,,,,,,,,,
,,,,,,7.97,27.78%,0.32%,,31.7,24.16%,0.19%,,,,,,,,,
,,,,,,7.98,28.10%,0.32%,,31.8,24.35%,0.19%,,,,,,,,,
,,,,,,7.99,28.42%,0.32%,,31.9,24.53%,0.19%,,,,,,,,,
,,,,,,8,28.74%,0.32%,,32,24.72%,0.19%,,,,,,,,,
,,,,,,8.01,29.06%,0.32%,,32.1,24.91%,0.19%,,,,,,,,,
,,,,,,8.02,29.38%,0.32%,,32.2,25.09%,0.19%,,,,,,,,,
,,,,,,8.03,29.70%,0.32%,,32.3,25.28%,0.19%,,,,,,,,,
,,,,,,8.04,30.02%,0.32%,,32.4,25.47%,0.19%,,,,,,,,,
,,,,,,8.05,30.35%,0.32%,,32.5,25.65%,0.19%,,,,,,,,,
,,,,,,8.06,30.67%,0.32%,,32.6,25.84%,0.19%,,,,,,,,,
,,,,,,8.07,30.99%,0.32%,,32.7,26.03%,0.19%,,,,,,,,,
,,,,,,8.08,31.31%,0.32%,,32.8,26.21%,0.19%,,,,,,,,,
,,,,,,8.09,31.63%,0.32%,,32.9,26.40%,0.19%,,,,,,,,,
,,,,,,8.1,31.95%,0.32%,,33,26.59%,0.19%,,,,,,,,,
,,,,,,8.11,32.27%,0.32%,,33.1,26.77%,0.19%,,,,,,,,,
,,,,,,8.12,32.59%,0.32%,,33.2,26.96%,0.19%,,,,,,,,,
,,,,,,8.13,32.91%,0.32%,,33.3,27.15%,0.19%,,,,,,,,,
,,,,,,8.14,33.23%,0.32%,,33.4,27.33%,0.19%,,,,,,,,,
,,,,,,8.15,33.56%,0.32%,,33.5,27.52%,0.19%,,,,,,,,,
,,,,,,8.16,33.88%,0.32%,,33.6,27.71%,0.19%,,,,,,,,,
,,,,,,8.17,34.20%,0.32%,,33.7,27.89%,0.19%,,,,,,,,,
,,,,,,8.18,34.52%,0.32%,,33.8,28.08%,0.19%,,,,,,,,,
,,,,,,8.19,34.84%,0.32%,,33.9,28.27%,0.19%,,,,,,,,,
,,,,,,8.2,35.16%,0.32%,,34,28.45%,0.19%,,,,,,,,,
,,,,,,8.21,35.48%,0.32%,,34.1,28.64%,0.19%,,,,,,,,,
,,,,,,8.22,35.80%,0.32%,,34.2,28.83%,0.19%,,,,,,,,,
,,,,,,8.23,36.12%,0.32%,,34.3,29.01%,0.19%,,,,,,,,,
,,,,,,8.24,36.44%,0.32%,,34.4,29.20%,0.19%,,,,,,,,,
,,,,,,8.25,36.77%,0.32%,,34.5,29.39%,0.19%,,,,,,,,,
,,,,,,8.26,37.09%,0.32%,,34.6,29.57%,0.19%,,,,,,,,,
,,,,,,8.27,37.41%,0.32%,,34.7,29.76%,0.19%,,,,,,,,,
,,,,,,8.28,37.73%,0.32%,,34.8,29.95%,0.19%,,,,,,,,,
,,,,,,8.29,38.05%,0.32%,,34.9,30.13%,0.19%,,,,,,,,,
,,,,,,8.3,38.37%,0.32%,,35,30.32%,0.19%,,,,,,,,,
,,,,,,8.31,38.69%,0.32%,,35.1,30.51%,0.19%,,,,,,,,,
,,,,,,8.32,39.01%,0.32%,,35.2,30.69%,0.19%,,,,,,,,,
,,,,,,8.33,39.33%,0.32%,,35.3,30.88%,0.19%,,,,,,,,,
,,,,,,8.34,39.65%,0.32%,,35.4,31.07%,0.19%,,,,,,,,,
,,,,,,8.35,39.98%,0.32%,,35.5,31.25%,0.19%,,,,,,,,,
,,,,,,8.36,40.30%,0.32%,,35.6,31.44%,0.19%,,,,,,,,,
,,,,,,8.37,40.62%,0.32%,,35.7,31.63%,0.19%,,,,,,,,,
,,,,,,8.38,40.94%,0.32%,,35.8,31.81%,0.19%,,,,,,,,,
,,,,,,8.39,41.26%,0.32%,,35.9,32.00%,0.19%,,,,,,,,,
,,,,,,8.4,41.58%,0.32%,,36,32.19%,0.19%,,,,,,,,,
,,,,,,8.41,41.90%,0.32%,,36.1,32.37%,0.19%,,,,,,,,,
,,,,,,8.42,42.22%,0.32%,,36.2,32.56%,0.19%,,,,,,,,,
,,,,,,8.43,42.54%,0.32%,,36.3,32.75%,0.19%,,,,,,,,,
,,,,,,8.44,42.86%,0.32%,,36.4,32.93%,0.19%,,,,,,,,,
,,,,,,8.45,43.19%,0.32%,,36.5,33.12%,0.19%,,,,,,,,,
,,,,,,8.46,43.51%,0.32%,,36.6,33.31%,0.19%,,,,,,,,,
,,,,,,8.47,43.83%,0.32%,,36.7,33.49%,0.19%,,,,,,,,,
,,,,,,8.48,44.15%,0.32%,,36.8,33.68%,0.19%,,,,,,,,,
,,,,,,8.49,44.47%,0.32%,,36.9,33.87%,0.19%,,,,,,,,,
,,,,,,8.5,44.79%,0.32%,,37,34.05%,0.19%,,,,,,,,,
,,,,,,8.51,45.11%,0.32%,,37.1,34.24%,0.19%,,,,,,,,,
,,,,,,8.52,45.43%,0.32%,,37.2,34.43%,0.19%,,,,,,,,,
,,,,,,8.53,45.75%,0.32%,,37.3,34.61%,0.19%,,,,,,,,,
,,,,,,8.54,46.07%,0.32%,,37.4,34.80%,0.19%,,,,,,,,,
,,,,,,8.55,46.40%,0.32%,,37.5,34.99%,0.19%,,,,,,,,,
,,,,,,8.56,46.72%,0.32%,,37.6,35.17%,0.19%,,,,,,,,,
,,,,,,8.57,47.04%,0.32%,,37.7,35.36%,0.19%,,,,,,,,,
,,,,,,8.58,47.36%,0.32%,,37.8,35.55%,0.19%,,,,,,,,,
,,,,,,8.59,47.68%,0.32%,,37.9,35.73%,0.19%,,,,,,,,,
,,,,,,8.6,48.00%,0.32%,,38,35.92%,0.19%,,,,,,,,,
,,,,,,8.61,47.78%,0.22%,,38.1,36.11%,0.19%,,,,,,,,,
,,,,,,8.62,47.56%,0.22%,,38.2,36.29%,0.19%,,,,,,,,,
,,,,,,8.63,47.34%,0.22%,,38.3,36.48%,0.19%,,,,,,,,,
,,,,,,8.64,47.12%,0.22%,,38.4,36.67%,0.19%,,,,,,,,,
,,,,,,8.65,46.90%,0.22%,,38.5,36.85%,0.19%,,,,,,,,,
,,,,,,8.66,46.68%,0.22%,,38.6,37.04%,0.19%,,,,,,,,,
,,,,,,8.67,46.46%,0.22%,,38.7,37.23%,0.19%,,,,,,,,,
,,,,,,8.68,46.24%,0.22%,,38.8,37.41%,0.19%,,,,,,,,,
,,,,,,8.69,46.02%,0.22%,,38.9,37.60%,0.19%,,,,,,,,,
,,,,,,8.7,45.80%,0.22%,,39,37.79%,0.19%,,,,,,,,,
,,,,,,8.71,45.58%,0.22%,,39.1,37.97%,0.19%,,,,,,,,,
,,,,,,8.72,45.36%,0.22%,,39.2,38.16%,0.19%,,,,,,,,,
,,,,,,8.73,45.14%,0.22%,,39.3,38.35%,0.19%,,,,,,,,,
,,,,,,8.74,44.92%,0.22%,,39.4,38.53%,0.19%,,,,,,,,,
,,,,,,8.75,44.70%,0.22%,,39.5,38.72%,0.19%,,,,,,,,,
,,,,,,8.76,44.48%,0.22%,,39.6,38.91%,0.19%,,,,,,,,,
,,,,,,8.77,44.26%,0.22%,,39.7,39.09%,0.19%,,,,,,,,,
,,,,,,8.78,44.04%,0.22%,,39.8,39.28%,0.19%,,,,,,,,,
,,,,,,8.79,43.82%,0.22%,,39.9,39.47%,0.19%,,,,,,,,,
,,,,,,8.8,43.60%,0.22%,,40,39.65%,0.19%,,,,,,,,,
,,,,,,8.81,43.38%,0.22%,,40.1,39.84%,0.19%,,,,,,,,,
,,,,,,8.82,43.16%,0.22%,,40.2,40.03%,0.19%,,,,,,,,,
,,,,,,8.83,42.94%,0.22%,,40.3,40.21%,0.19%,,,,,,,,,
,,,,,,8.84,42.72%,0.22%,,40.4,40.40%,0.19%,,,,,,,,,
,,,,,,8.85,42.50%,0.22%,,40.5,40.59%,0.19%,,,,,,,,,
,,,,,,8.86,42.28%,0.22%,,40.6,40.77%,0.19%,,,,,,,,,
,,,,,,8.87,42.06%,0.22%,,40.7,40.96%,0.19%,,,,,,,,,
,,,,,,8.88,41.84%,0.22%,,40.8,41.15%,0.19%,,,,,,,,,
,,,,,,8.89,41.62%,0.22%,,40.9,41.33%,0.19%,,,,,,,,,
,,,,,,8.9,41.40%,0.22%,,41,41.52%,0.19%,,,,,,,,,
,,,,,,8.91,41.18%,0.22%,,41.1,41.71%,0.19%,,,,,,,,,
,,,,,,8.92,40.96%,0.22%,,41.2,41.89%,0.19%,,,,,,,,,
,,,,,,8.93,40.74%,0.22%,,41.3,42.08%,0.19%,,,,,,,,,
,,,,,,8.94,40.52%,0.22%,,41.4,42.27%,0.19%,,,,,,,,,
,,,,,,8.95,40.30%,0.22%,,41.5,42.45%,0.19%,,,,,,,,,
,,,,,,8.96,40.08%,0.22%,,41.6,42.64%,0.19%,,,,,,,,,
,,,,,,8.97,39.86%,0.22%,,41.7,42.83%,0.19%,,,,,,,,,
,,,,,,8.98,39.64%,0.22%,,41.8,43.01%,0.19%,,,,,,,,,
,,,,,,8.99,39.42%,0.22%,,41.9,43.20%,0.19%,,,,,,,,,
,,,,,,9,39.20%,0.22%,,42,43.39%,0.19%,,,,,,,,,
,,,,,,9.01,38.98%,0.22%,,42.1,43.57%,0.19%,,,,,,,,,
,,,,,,9.02,38.76%,0.22%,,42.2,43.76%,0.19%,,,,,,,,,
,,,,,,9.03,38.54%,0.22%,,42.3,43.95%,0.19%,,,,,,,,,
,,,,,,9.04,38.32%,0.22%,,42.4,44.13%,0.19%,,,,,,,,,
,,,,,,9.05,38.10%,0.22%,,42.5,44.32%,0.19%,,,,,,,,,
,,,,,,9.06,37.88%,0.22%,,42.6,44.51%,0.19%,,,,,,,,,
,,,,,,9.07,37.66%,0.22%,,42.7,44.69%,0.19%,,,,,,,,,
,,,,,,9.08,37.44%,0.22%,,42.8,44.88%,0.19%,,,,,,,,,
,,,,,,9.09,37.22%,0.22%,,42.9,45.07%,0.19%,,,,,,,,,
,,,,,,9.1,37.00%,0.22%,,43,45.25%,0.19%,,,,,,,,,
,,,,,,9.11,36.78%,0.22%,,43.1,45.44%,0.19%,,,,,,,,,
,,,,,,9.12,36.56%,0.22%,,43.2,45.63%,0.19%,,,,,,,,,
,,,,,,9.13,36.34%,0.22%,,43.3,45.81%,0.19%,,,,,,,,,
,,,,,,9.14,36.12%,0.22%,,43.4,46%,0.19%,,,,,,,,,
,,,,,,9.15,35.90%,0.22%,,43.5,46.08%,0.08%,,,,,,,,,
,,,,,,9.16,35.68%,0.22%,,43.6,46.15%,0.08%,,,,,,,,,
,,,,,,9.17,35.46%,0.22%,,43.7,46.23%,0.08%,,,,,,,,,
,,,,,,9.18,35.24%,0.22%,,43.8,46.31%,0.08%,,,,,,,,,
,,,,,,9.19,35.02%,0.22%,,43.9,46.38%,0.08%,,,,,,,,,
,,,,,,9.2,34.80%,0.22%,,44,46.46%,0.08%,,,,,,,,,
,,,,,,9.21,34.58%,0.22%,,44.1,46.53%,0.08%,,,,,,,,,
,,,,,,9.22,34.36%,0.22%,,44.2,46.61%,0.08%,,,,,,,,,
,,,,,,9.23,34.14%,0.22%,,44.3,46.69%,0.08%,,,,,,,,,
,,,,,,9.24,33.92%,0.22%,,44.4,46.76%,0.08%,,,,,,,,,
,,,,,,9.25,33.70%,0.22%,,44.5,46.84%,0.08%,,,,,,,,,
,,,,,,9.26,33.48%,0.22%,,44.6,46.92%,0.08%,,,,,,,,,
,,,,,,9.27,33.26%,0.22%,,44.7,46.99%,0.08%,,,,,,,,,
,,,,,,9.28,33.04%,0.22%,,44.8,47.07%,0.08%,,,,,,,,,
,,,,,,9.29,32.82%,0.22%,,44.9,47.15%,0.08%,,,,,,,,,
,,,,,,9.3,32.60%,0.22%,,45,47.22%,0.08%,,,,,,,,,
,,,,,,9.31,32.38%,0.22%,,45.1,47.30%,0.08%,,,,,,,,,
,,,,,,9.32,32.16%,0.22%,,45.2,47.37%,0.08%,,,,,,,,,
,,,,,,9.33,31.94%,0.22%,,45.3,47.45%,0.08%,,,,,,,,,
,,,,,,9.34,31.72%,0.22%,,45.4,47.53%,0.08%,,,,,,,,,
